voxel_x_0based,voxel_y_0based,voxel_z_0based,MNI_x_mm,MNI_y_mm,MNI_z_mm,combined_partial_r
59,83,25,28,40,-22,0.32083113350137304
60,83,25,30,40,-22,0.31933346510368543
59,82,25,28,38,-22,0.31875203604245705
60,84,25,30,42,-22,0.3176848680651101
58,83,25,26,40,-22,0.31647099761197167
58,82,25,26,38,-22,0.3137228138690447
59,84,25,28,42,-22,0.3133668552567489
58,84,25,26,42,-22,0.31013446121755306
57,83,25,24,40,-22,0.30868476052788923
57,84,25,24,42,-22,0.30807909521743326
60,85,25,30,44,-22,0.3067706766789847
60,82,25,30,38,-22,0.30576301088733393
61,85,25,32,44,-22,0.3055644865236143
61,84,25,32,42,-22,0.3037612244595576
57,82,25,24,38,-22,0.3023176925243252
55,84,24,20,42,-24,0.3004138490361889
58,81,25,26,36,-22,0.2993248044139277
59,81,25,28,36,-22,0.29928176148529473
56,84,25,22,42,-22,0.2982899702160898
59,85,25,28,44,-22,0.29693411149247717
61,86,25,32,46,-22,0.2965702960525986
57,85,25,24,44,-22,0.29548099506510433
56,83,25,22,40,-22,0.2938064861036565
56,84,24,22,42,-24,0.29308249371765305
55,85,24,20,44,-24,0.29298318530956324
56,85,25,22,44,-22,0.2926730039345957
58,85,25,26,44,-22,0.292461592894401
55,83,24,20,40,-24,0.2905438315041744
57,81,25,24,36,-22,0.2890707131502402
61,83,25,32,40,-22,0.2886255573834816
56,85,24,22,44,-24,0.28794386373819225
61,83,24,32,40,-24,0.28788729044642763
59,82,26,28,38,-20,0.28636087879647304
56,82,25,22,38,-22,0.2854520653503655
60,86,25,30,46,-22,0.2824902488258633
