NRS_item_number,NRS_item_name,behavior_matrix_column_1_based,adjusted_complete_case_n,spatial_r_adjusted_map_vs_dataset1,unadjusted_available_n,spatial_r_unadjusted_map_vs_dataset1,is_primary_outcome,adjusted_rank_descending
2,somatic concern,1,173,0.5887611658624601,181,0.4821403593687537,True,1
18,hallucinatory behaviour,18,173,0.48457348502422204,181,0.4301489375822511,False,2
22,excitement,22,173,0.44624019195505493,181,0.5581951445807453,False,3
23,poor planning,23,173,0.4282507801023223,175,0.45756117895936643,False,4
6,tension,6,173,0.400243843985371,181,0.06089688404863713,False,5
1,comprehension deficit,2,173,0.3869017084721822,181,0.5350783760440023,False,6
8,inattention/reduced alertness,8,173,0.37766426360532174,181,0.45504962078974825,False,7
16,emotional withdrawal,16,173,0.35970596535125504,181,0.39519234042013074,False,8
26,disinhibition,26,173,0.3472250361633814,180,0.39877753351545053,False,9
25,suspiciousness,25,173,0.18828866562693888,180,0.3058925525211498,False,10
14,hostility/uncooperativeness,14,173,0.17290166885455927,181,0.3746601929703311,False,11
3,guilt feelings,3,173,0.1266511025262378,181,0.23390422984053116,False,12
5,expressive deficit,5,173,0.08136124873954365,181,0.32567625513246634,False,13
10,disorientation,10,173,0.04537223142643161,179,0.2633181688656727,False,14
9,blunted affect,9,173,0.03919503423415515,181,0.19757874814014895,False,15
21,memory deficit,21,173,0.0051237269805265145,181,-0.4099430227815696,False,16
17,unusual thought content,17,173,-0.07819164315632299,180,0.37230372221996644,False,17
20,fatigability,20,173,-0.14369372990131293,181,0.46572963138286777,False,18
19,motor retardation,19,173,-0.1820247912616037,181,-0.45061690331951404,False,19
11,speech articulation defect,11,173,-0.2735876506197576,179,0.303472419187402,False,20
24,anxiety,24,173,-0.3299497463353084,180,0.380267265515208,False,21
27,decreased initiative/motivation,27,173,-0.3461242184066496,180,-0.07057271808272758,False,22
12,lability of mood,12,173,-0.35981048332465243,180,-0.1248772601923681,False,23
4,inaccurate insight and self-appraisal,4,173,-0.36725835838569454,181,0.054295438020726415,False,24
15,depressive mood,15,173,-0.4028772456155015,181,0.21928073742787485,False,25
13,agitation,13,173,-0.4388383880624635,181,-0.09432369478778735,False,26
7,conceptual disorganization,7,173,-0.49458080475160676,181,0.2692506144589466,False,27
