NRS_item_number,NRS_item_name,behavior_matrix_column_1_based,adjusted_complete_case_n,spatial_r_adjusted_map_vs_dataset1,unadjusted_available_n,spatial_r_unadjusted_map_vs_dataset1,is_primary_outcome,adjusted_rank_descending,lesion_size_only_complete_case_n,spatial_r_lesion_size_only_map_vs_dataset1,lesion_size_only_rank_descending
2,somatic concern,1,173,0.5887611658624601,181,0.4821403593687537,True,1,181,0.4796373396112085,3.0
18,hallucinatory behaviour,18,173,0.484573485024222,181,0.4301489375822511,False,2,181,0.4298054680463033,7.0
22,excitement,22,173,0.4462401919550549,181,0.5581951445807453,False,3,181,0.5667720205983292,1.0
23,poor planning,23,173,0.4282507801023223,175,0.4575611789593664,False,4,175,0.4538233034983303,6.0
6,tension,6,173,0.400243843985371,181,0.0608968840486371,False,5,181,0.0846011148982724,21.0
1,comprehension deficit,2,173,0.3869017084721822,181,0.5350783760440023,False,6,181,0.5348032036329993,2.0
8,inattention/reduced alertness,8,173,0.3776642636053217,181,0.4550496207897482,False,7,181,0.459054328723632,5.0
16,emotional withdrawal,16,173,0.359705965351255,181,0.3951923404201307,False,8,181,0.3958036420044132,9.0
26,disinhibition,26,173,0.3472250361633814,180,0.3987775335154505,False,9,180,0.3986162087152337,8.0
25,suspiciousness,25,173,0.1882886656269388,180,0.3058925525211498,False,10,180,0.3177069612055628,14.0
14,hostility/uncooperativeness,14,173,0.1729016688545592,181,0.3746601929703311,False,11,181,0.384030131458324,11.0
3,guilt feelings,3,173,0.1266511025262378,181,0.2339042298405311,False,12,181,0.2323682492438718,18.0
5,expressive deficit,5,173,0.0813612487395436,181,0.3256762551324663,False,13,181,0.3252778603794379,13.0
10,disorientation,10,173,0.0453722314264316,179,0.2633181688656727,False,14,179,0.2666122958199708,17.0
9,blunted affect,9,173,0.0391950342341551,181,0.1975787481401489,False,15,181,0.197591833003708,20.0
21,memory deficit,21,173,0.0051237269805265,181,-0.4099430227815696,False,16,181,-0.3957724447420052,26.0
17,unusual thought content,17,173,-0.0781916431563229,180,0.3723037222199664,False,17,180,0.3690880431103135,12.0
20,fatigability,20,173,-0.1436937299013129,181,0.4657296313828677,False,18,181,0.4662377959909209,4.0
19,motor retardation,19,173,-0.1820247912616037,181,-0.450616903319514,False,19,181,-0.44380881614525,27.0
11,speech articulation defect,11,173,-0.2735876506197576,179,0.303472419187402,False,20,179,0.3117671673419733,15.0
24,anxiety,24,173,-0.3299497463353084,180,0.380267265515208,False,21,180,0.3867381427693298,10.0
27,decreased initiative/motivation,27,173,-0.3461242184066496,180,-0.0705727180827275,False,22,180,-0.0900691351177401,23.0
12,lability of mood,12,173,-0.3598104833246524,180,-0.1248772601923681,False,23,180,-0.1181290770332078,25.0
4,inaccurate insight and self-appraisal,4,173,-0.3672583583856945,181,0.0542954380207264,False,24,181,0.0640947939572636,22.0
15,depressive mood,15,173,-0.4028772456155015,181,0.2192807374278748,False,25,181,0.2186380572684315,19.0
13,agitation,13,173,-0.4388383880624635,181,-0.0943236947877873,False,26,181,-0.1035401906723184,24.0
7,conceptual disorganization,7,173,-0.4945808047516067,181,0.2692506144589466,False,27,181,0.2764931943286217,16.0
